,TV,Radio,Newspaper,Sales,tv_to_sales_ratio,radio_to_sales_ratio,newspaper_to_sales_ratio,sales_level,Tv_radio_intecreation,Tv_Newspaper_interaction,Radio_newspaper_interaction,TV_Range,Newspaper_Range,Radio_Range,TV_Radio_int,TV_Newspaper_int,Newspaper_Radio_int,TV_efficiency,Radio_efficiency,Newspaper_efficiency,Total_Budget,TV_share,Radio_share,Newspaper_share,TV_log,Radio_log,Newspaper_log,TV_squared,Radio_squared,Newspaper_squared,TV_sqrt,Radio_sqrt,TV_Radio_Newspaper,TV_tp_Radio_ratio,Newspaper_sqrt
0,230.1,37.8,69.2,22.1,10.411764705882351,1.7104072398190042,3.1312217194570136,High,8697.779999999999,15922.92,2615.7599999999998,High,High,High,8697.779999999999,15922.92,2615.7599999999998,0.096045197740113,0.5846560846560848,0.319364161849711,337.09999999999997,0.6825867695045981,0.11213289824977751,0.20528033224562448,5.442850517280335,3.6584202466292277,4.251348311031766,52946.009999999995,1428.8399999999997,4788.64,15.16904743218901,6.148170459575759,601886.3759999999,5.930412371134021,8.318653737234168
1,44.5,39.3,45.1,10.4,4.278846153846153,3.7788461538461533,4.336538461538462,Medium_Low,1748.85,2006.95,1772.4299999999998,Low,High,High,1748.85,2006.95,1772.4299999999998,0.23370786516853934,0.2646310432569975,0.23059866962305986,128.9,0.3452288595810706,0.30488750969743983,0.34988363072148954,3.817712325956905,3.696351468952637,3.8308129500026027,1980.25,1544.4899999999998,2034.0100000000002,6.670832032063167,6.268971207462991,78873.135,1.1042183622828785,6.715653356152326
2,17.2,45.9,69.3,9.3,1.8494623655913975,4.935483870967741,7.451612903225805,Low,789.4799999999999,1191.9599999999998,3180.87,Low,High,High,789.4799999999999,1191.9599999999998,3180.87,0.5406976744186047,0.20261437908496735,0.1341991341991342,132.39999999999998,0.12990936555891242,0.3466767371601209,0.5234138972809669,2.9014215940827497,3.8480176754522337,4.252771798816619,295.84,2106.81,4802.49,4.147288270665544,6.774953874381729,54710.96399999999,0.3667377398720682,8.324662155306964
3,151.5,41.3,58.5,18.5,8.18918918918919,2.2324324324324323,3.1621621621621623,High,6256.95,8862.75,2416.0499999999997,Medium,High,High,6256.95,8862.75,2416.0499999999997,0.12211221122112212,0.44794188861985473,0.3162393162393162,251.3,0.6028651014723437,0.16434540389972144,0.23278949462793472,5.0271645960474665,3.744787086052232,4.085976312551584,22952.25,1705.6899999999998,3422.25,12.30853362509117,6.4265076052238514,366031.575,3.5815602836879434,7.648529270389178
4,180.8,10.8,58.4,12.9,14.015503875968992,0.8372093023255814,4.5271317829457365,Medium_Low,1952.6400000000003,10558.720000000001,630.72,Medium,High,Low,1952.6400000000003,10558.720000000001,630.72,0.0713495575221239,1.1944444444444444,0.22089041095890413,250.00000000000003,0.7232,0.043199999999999995,0.23359999999999997,5.202907181743378,2.468099531471619,4.084294226368599,32688.640000000003,116.64000000000001,3410.56,13.446189051177289,3.286335345030997,114034.17600000002,15.322033898305085,7.64198926981712
5,8.7,48.9,75.0,7.2,1.2083333333333333,6.791666666666666,10.416666666666666,Low,425.42999999999995,652.5,3667.5,Low,High,High,425.42999999999995,652.5,3667.5,0.8275862068965518,0.147239263803681,0.096,132.6,0.06561085972850679,0.36877828054298645,0.5656108597285068,2.272125885509337,3.910021002757473,4.330733340286331,75.68999999999998,2391.21,5625.0,2.949576240750525,6.992853494818835,31907.249999999996,0.17434869739478956,8.660254037844387
6,57.5,32.8,23.5,11.8,4.872881355932203,2.7796610169491522,1.9915254237288134,Medium_Low,1885.9999999999998,1351.25,770.8,Low,Medium,High,1885.9999999999998,1351.25,770.8,0.20521739130434785,0.35975609756097565,0.5021276595744681,113.8,0.5052724077328646,0.28822495606326887,0.20650263620386644,4.069026754237811,3.520460802488973,3.1986731175506815,3306.25,1075.84,552.25,7.582875444051551,5.727128425310541,44320.99999999999,1.7011834319526629,4.847679857416329
7,120.2,19.6,11.6,13.2,9.106060606060607,1.484848484848485,0.8787878787878788,Medium_High,2355.92,1394.32,227.36,Medium,Low,Medium,2355.92,1394.32,227.36,0.1098169717138103,0.6734693877551019,1.1379310344827587,151.4,0.7939233817701453,0.12945838837516513,0.07661822985468957,4.797442073635214,3.0252910757955354,2.533696813957432,14448.04,384.1600000000001,134.56,10.963576058932597,4.427188724235731,27328.672,5.834951456310679,3.40587727318528
8,8.6,2.1,1.0,4.8,1.7916666666666667,0.43750000000000006,0.20833333333333334,Low,18.06,8.6,2.1,Low,Low,Low,18.06,8.6,2.1,0.5581395348837209,2.2857142857142856,4.8,11.7,0.7350427350427351,0.17948717948717952,0.08547008547008547,2.2617630984737906,1.1314021114911006,0.6931471805599453,73.96,4.41,1.0,2.932575659723036,1.449137674618944,18.06,2.7741935483870965,1.0
9,199.8,2.6,21.2,10.6,18.849056603773587,0.24528301886792456,2.0,Medium_Low,519.48,4235.76,55.12,Medium,Medium,Low,519.48,4235.76,55.12,0.05305305305305305,4.076923076923077,0.5,223.6,0.8935599284436494,0.011627906976744186,0.09481216457960644,5.302309387817574,1.2809338454620642,3.100092288878234,39920.04000000001,6.760000000000001,449.44,14.135062787267696,1.61245154965971,11012.976,55.5,4.604345773288535
10,66.1,5.8,24.2,8.6,7.686046511627906,0.6744186046511628,2.813953488372093,Low,383.37999999999994,1599.62,140.35999999999999,Low,Medium,Low,383.37999999999994,1599.62,140.35999999999999,0.13010590015128592,1.4827586206896552,0.35537190082644626,96.1,0.6878251821019771,0.060353798126951096,0.2518210197710718,4.206184043977636,1.916922612182061,3.2268439945173775,4369.209999999999,33.64,585.64,8.130190649671137,2.4083189157584592,9277.795999999998,9.720588235294118,4.919349550499537
11,214.7,24.0,4.0,17.4,12.339080459770114,1.3793103448275863,0.2298850574712644,Medium_High,5152.799999999999,858.8,96.0,High,Low,Medium,5152.799999999999,858.8,96.0,0.08104331625523986,0.725,4.35,242.7,0.88463123197363,0.09888751545117429,0.016481252575195716,5.373888553395111,3.2188758248682006,1.6094379124341003,46096.09,576.0,16.0,14.652644812456213,4.898979485566356,20611.199999999997,8.588,2.0
12,23.8,35.1,65.9,9.2,2.586956521739131,3.815217391304348,7.163043478260871,Low,835.3800000000001,1568.42,2313.09,Low,High,High,835.3800000000001,1568.42,2313.09,0.38655462184873945,0.2621082621082621,0.13960546282245825,124.80000000000001,0.1907051282051282,0.28125,0.5280448717948718,3.2108436531709366,3.586292865338835,4.203198967134183,566.44,1232.01,4342.81,4.878524367060187,5.92452529743945,55051.54200000001,0.6592797783933518,8.117881497040962
